"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestAddItem_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetById_AAA/successful_get_by_id",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetFreeOrders/no_free_orders_found",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","880","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestGetId_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestGetById/brand_not_found",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestGetOrders_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestDelete/worker_not_found",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/basket","","github.com/taucuya/ppo/internal/core/service/basket","","TestAddItem_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestDelete",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByBrand/empty_brand",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByCategory/successful_get_by_category",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/worker","","github.com/taucuya/ppo/internal/core/service/worker","","TestCreate_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestCreate",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","github.com/taucuya/ppo/internal/repository/postgres/reps/auth","","TestVerifyToken/successful_token_verification",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","github.com/taucuya/ppo/internal/repository/postgres/reps/order","","TestGetStatus/database_error_when_getting_status",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestDeleteItem/database_error_when_deleting_item",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","10","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","github.com/taucuya/ppo/internal/repository/postgres/reps/product","","TestGetByName",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/brand","","github.com/taucuya/ppo/internal/core/service/brand","","TestGetAllBrandsInCategory_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","github.com/taucuya/ppo/internal/repository/postgres/reps/worker","","TestGetById/successful_get_by_id",""
"passed","Mon Nov 10 07:51:09 UTC 2025","Mon Nov 10 07:51:09 UTC 2025","0","","github.com/taucuya/ppo/internal/integration_tests","","github.com/taucuya/ppo/internal/integration_tests","","TestBrand_Delete_AAA/fail_to_delete_non-existent_brand",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/review","","github.com/taucuya/ppo/internal/core/service/review","","TestGetById_AAA/repository_error",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/product","","github.com/taucuya/ppo/internal/core/service/product","","TestGetById_AAA",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","github.com/taucuya/ppo/internal/repository/postgres/reps/basket","","TestGetBIdByUId/database_error_when_getting_basket_ID",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestLogOut_AAA/logout_error_(token_verification_repo_error)",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","900","","github.com/taucuya/ppo/internal/core/service/user","","github.com/taucuya/ppo/internal/core/service/user","","TestClassicCreate_AAA/repository_error_on_user_creation",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:40 UTC 2025","1010","","github.com/taucuya/ppo/internal/core/service/auth","","github.com/taucuya/ppo/internal/core/service/auth","","TestLogIn_AAA/login_error_(wrong_password)",""
"passed","Mon Nov 10 07:49:39 UTC 2025","Mon Nov 10 07:49:39 UTC 2025","0","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","github.com/taucuya/ppo/internal/repository/postgres/reps/brand","","TestCreate/successful_brand_creation",""
