rps,duration (ms),status
560,235.3,OK
560,237.2,OK
560,315.59999999999997,OK
560,318.79999999999995,OK
560,318.90000000000003,OK
560,319.29999999999995,OK
560,319.90000000000003,OK
560,327.5,OK
560,336.9,OK
560,336.9,OK
560,435.40000000000003,OK
560,380.40000000000003,OK
560,297.09999999999997,OK
560,378.7,OK
560,301.09999999999997,OK
560,306.4,OK
560,320.5,OK
560,316.7,OK
560,311.40000000000003,OK
560,398.8,OK
560,481.2,OK
560,402.5,OK
560,303.0,OK
560,303.20000000000005,OK
560,303.20000000000005,OK
560,300.5,OK
560,306.8,OK
560,380.7,OK
560,491.59999999999997,OK
560,384.1,OK
560,480.9,OK
560,313.8,OK
560,386.79999999999995,OK
560,313.5,OK
560,316.90000000000003,OK
560,319.5,OK
560,319.6,OK
560,383.1,OK
560,308.0,OK
560,409.2,OK
560,317.0,OK
560,385.0,OK
560,405.5,OK
560,299.3,OK
560,301.0,OK
560,315.0,OK
560,397.5,OK
560,397.2,OK
560,409.6,OK
560,393.0,OK
560,387.29999999999995,OK
560,409.7,OK
560,299.8,OK
560,398.0,OK
560,384.7,OK
560,407.6,OK
560,305.70000000000005,OK
560,395.8,OK
560,308.3,OK
560,491.3,OK
560,391.79999999999995,OK
560,393.7,OK
560,390.90000000000003,OK
560,393.7,OK
560,307.0,OK
560,303.59999999999997,OK
560,380.3,OK
560,391.79999999999995,OK
560,400.9,OK
560,308.90000000000003,OK
560,398.9,OK
560,404.1,OK
560,314.2,OK
560,295.0,OK
560,303.9,OK
560,304.0,OK
560,408.8,OK
560,418.0,OK
560,410.0,OK
560,500.90000000000003,OK
560,299.0,OK
560,394.3,OK
560,301.0,OK
560,305.0,OK
560,389.40000000000003,OK
560,384.6,OK
560,392.5,OK
560,396.8,OK
560,391.29999999999995,OK
560,295.0,OK
560,400.9,OK
560,306.0,OK
560,387.1,OK
560,391.90000000000003,OK
560,320.40000000000003,OK
560,499.2,OK
560,406.5,OK
560,490.0,OK
560,397.8,OK
560,301.8,OK
560,310.8,OK
560,300.0,OK
560,225.0,OK
560,479.2,OK
560,312.59999999999997,OK
560,322.0,OK
560,413.2,OK
560,402.3,OK
560,303.20000000000005,OK
560,316.90000000000003,OK
560,389.79999999999995,OK
560,390.90000000000003,OK
560,486.8,OK
560,486.9,OK
560,322.29999999999995,OK
560,385.6,OK
560,389.1,OK
560,393.0,OK
560,397.8,OK
560,383.6,OK
560,401.6,OK
560,390.90000000000003,OK
560,383.5,OK
560,312.7,OK
560,392.79999999999995,OK
560,299.20000000000005,OK
560,388.7,OK
560,314.5,OK
560,386.90000000000003,OK
560,389.7,OK
560,318.90000000000003,OK
560,399.4,OK
560,319.0,OK
560,402.3,OK
560,383.5,OK
560,309.8,OK
560,297.3,OK
560,401.5,OK
560,316.5,OK
560,408.0,OK
560,379.90000000000003,OK
560,410.1,OK
560,383.2,OK
560,391.29999999999995,OK
560,301.8,OK
560,397.2,OK
560,390.2,OK
560,406.7,OK
560,304.0,OK
560,297.70000000000005,OK
560,303.3,OK
560,401.1,OK
560,383.2,OK
560,317.5,OK
560,308.0,OK
560,390.40000000000003,OK
560,310.09999999999997,OK
560,300.70000000000005,OK
560,306.8,OK
560,399.7,OK
560,317.7,OK
560,493.5,OK
560,390.0,OK
560,303.09999999999997,OK
560,320.0,OK
560,315.3,OK
560,398.3,OK
560,309.09999999999997,OK
560,394.1,OK
560,483.20000000000005,OK
560,393.7,OK
560,404.7,OK
560,310.09999999999997,OK
560,315.40000000000003,OK
560,379.40000000000003,OK
560,386.7,OK
560,387.0,OK
560,387.79999999999995,OK
560,399.8,OK
560,397.2,OK
560,310.40000000000003,OK
560,305.70000000000005,OK
560,375.09999999999997,OK
560,405.9,OK
560,483.3,OK
560,407.2,OK
560,415.0,OK
560,319.79999999999995,OK
560,292.6,OK
560,397.0,OK
560,480.8,OK
560,390.6,OK
560,309.90000000000003,OK
560,391.7,OK
560,392.1,OK
560,309.5,OK
560,292.4,OK
560,375.3,OK
560,494.8,OK
560,403.9,OK
560,407.5,OK
560,324.2,OK
560,399.3,OK
560,400.6,OK
560,300.5,OK
560,311.3,OK
560,499.5,OK
560,483.20000000000005,OK
560,406.7,OK
560,310.2,OK
560,396.8,OK
560,397.1,OK
560,476.8,OK
560,407.4,OK
560,399.9,OK
560,396.9,OK
560,496.2,OK
560,403.1,OK
560,319.6,OK
560,392.79999999999995,OK
560,380.0,OK
560,406.8,OK
560,317.5,OK
560,421.3,OK
560,399.3,OK
560,398.9,OK
560,406.4,OK
560,307.8,OK
560,389.2,OK
560,415.7,OK
560,324.7,OK
560,325.0,OK
560,311.40000000000003,OK
560,386.5,OK
560,390.0,OK
560,295.70000000000005,OK
560,295.9,OK
560,383.5,OK
560,397.6,OK
560,406.7,OK
560,391.29999999999995,OK
560,396.9,OK
560,482.5,OK
560,387.40000000000003,OK
560,309.40000000000003,OK
560,313.0,OK
560,387.2,OK
560,298.5,OK
560,394.4,OK
560,396.0,OK
560,385.29999999999995,OK
560,391.2,OK
560,392.90000000000003,OK
560,307.40000000000003,OK
560,312.59999999999997,OK
560,377.5,OK
560,317.0,OK
560,480.7,OK
560,403.3,OK
560,417.2,OK
560,401.0,OK
560,307.40000000000003,OK
560,302.8,OK
560,306.4,OK
560,304.5,OK
560,390.2,OK
560,399.9,OK
560,383.5,OK
560,321.79999999999995,OK
560,308.5,OK
560,306.5,OK
560,298.20000000000005,OK
560,318.6,OK
560,394.6,OK
560,382.6,OK
560,401.8,OK
560,388.29999999999995,OK
560,403.4,OK
560,298.3,OK
560,317.59999999999997,OK
560,389.1,OK
560,307.40000000000003,OK
560,479.6,OK
560,404.4,OK
560,396.9,OK
560,398.5,OK
560,293.9,OK
560,310.5,OK
560,312.2,OK
560,382.29999999999995,OK
560,388.90000000000003,OK
560,384.40000000000003,OK
560,401.3,OK
560,319.29999999999995,OK
560,299.5,OK
560,377.09999999999997,OK
560,319.2,OK
560,301.8,OK
560,318.5,OK
560,315.90000000000003,OK
560,399.6,OK
560,391.5,OK
560,318.40000000000003,OK
560,303.5,OK
560,380.59999999999997,OK
560,308.3,OK
560,300.4,OK
560,318.5,OK
560,382.90000000000003,OK
560,482.9,OK
560,395.1,OK
560,314.2,OK
560,481.70000000000005,OK
560,390.29999999999995,OK
560,390.1,OK
560,318.90000000000003,OK
560,302.20000000000005,OK
560,312.7,OK
560,381.40000000000003,OK
560,298.0,OK
560,388.29999999999995,OK
560,387.29999999999995,OK
560,411.1,OK
560,315.0,OK
560,311.5,OK
560,311.90000000000003,OK
560,386.29999999999995,OK
560,387.0,OK
560,308.2,OK
560,400.2,OK
560,319.1,OK
560,310.7,OK
560,322.0,OK
560,383.40000000000003,OK
560,395.2,OK
560,387.40000000000003,OK
560,402.0,OK
560,308.40000000000003,OK
560,309.5,OK
560,311.8,OK
560,380.8,OK
560,399.4,OK
560,376.5,OK
560,391.7,OK
560,308.40000000000003,OK
560,308.5,OK
560,314.7,OK
560,390.79999999999995,OK
560,292.3,OK
560,411.7,OK
560,412.7,OK
560,409.1,OK
560,409.1,OK
560,311.5,OK
560,311.0,OK
560,297.0,OK
560,381.6,OK
560,301.59999999999997,OK
560,483.5,OK
560,376.40000000000003,OK
560,390.40000000000003,OK
560,471.0,OK
560,489.3,OK
560,296.8,OK
560,402.8,OK
560,396.4,OK
560,407.4,OK
560,322.7,OK
560,400.0,OK
560,316.7,OK
560,311.5,OK
560,383.29999999999995,OK
560,302.0,OK
560,308.09999999999997,OK
560,396.6,OK
560,408.6,OK
560,379.7,OK
560,398.7,OK
560,387.2,OK
560,312.59999999999997,OK
560,381.7,OK
560,381.79999999999995,OK
560,316.40000000000003,OK
560,406.6,OK
560,407.7,OK
560,390.40000000000003,OK
560,301.4,OK
560,308.59999999999997,OK
560,306.90000000000003,OK
560,377.09999999999997,OK
560,490.09999999999997,OK
560,320.0,OK
560,410.0,OK
560,390.7,OK
560,391.40000000000003,OK
560,305.3,OK
560,319.7,OK
560,392.40000000000003,OK
560,388.0,OK
560,484.59999999999997,OK
560,418.3,OK
560,399.4,OK
560,501.49999999999994,OK
560,403.3,OK
560,415.1,OK
560,324.29999999999995,OK
560,316.7,OK
560,408.0,OK
560,323.5,OK
560,489.70000000000005,OK
560,302.0,OK
560,320.29999999999995,OK
560,303.20000000000005,OK
560,299.70000000000005,OK
560,310.5,OK
560,376.3,OK
560,376.3,OK
560,382.0,OK
560,494.40000000000003,OK
560,400.6,OK
560,490.0,OK
560,399.6,OK
560,485.0,OK
560,406.4,OK
560,385.6,OK
560,408.9,OK
560,409.1,OK
560,692.8,OK
560,404.7,OK
560,401.4,OK
560,390.90000000000003,OK
560,395.3,OK
560,392.7,OK
560,306.3,OK
560,307.40000000000003,OK
560,410.2,OK
560,391.40000000000003,OK
560,492.70000000000005,OK
560,393.40000000000003,OK
560,306.90000000000003,OK
560,394.2,OK
560,387.7,OK
560,386.79999999999995,OK
560,396.9,OK
560,406.0,OK
560,486.3,OK
560,483.3,OK
560,309.5,OK
560,416.2,OK
560,310.3,OK
560,313.59999999999997,OK
560,404.0,OK
560,415.9,OK
560,399.5,OK
560,409.9,OK
560,404.2,OK
560,307.3,OK
560,497.8,OK
560,306.90000000000003,OK
560,378.59999999999997,OK
560,392.40000000000003,OK
560,485.59999999999997,OK
560,379.09999999999997,OK
560,403.5,OK
560,390.7,OK
560,309.3,OK
560,507.8,OK
560,321.1,OK
560,382.7,OK
560,395.8,OK
560,389.1,OK
560,410.4,OK
560,315.90000000000003,OK
560,322.29999999999995,OK
560,422.4,OK
560,305.0,OK
560,310.40000000000003,OK
560,389.79999999999995,OK
560,399.7,OK
560,488.8,OK
560,484.9,OK
560,414.4,OK
560,398.9,OK
560,408.4,OK
560,374.3,OK
560,381.1,OK
560,387.7,OK
560,472.9,OK
560,402.2,OK
560,403.7,OK
560,494.0,OK
560,305.3,OK
560,319.1,OK
560,303.59999999999997,OK
560,303.8,OK
560,319.5,OK
560,394.2,OK
560,393.40000000000003,OK
560,396.9,OK
560,311.59999999999997,OK
560,312.8,OK
560,397.9,OK
560,400.3,OK
560,397.3,OK
560,482.20000000000005,OK
560,492.70000000000005,OK
560,313.59999999999997,OK
560,396.8,OK
560,318.79999999999995,OK
560,402.1,OK
560,386.90000000000003,OK
560,386.0,OK
560,400.4,OK
560,385.29999999999995,OK
560,306.90000000000003,OK
560,391.90000000000003,OK
560,388.0,OK
560,387.29999999999995,OK
560,388.29999999999995,OK
560,471.1,OK
560,308.7,OK
560,398.0,OK
560,295.09999999999997,OK
560,397.9,OK
560,303.70000000000005,OK
560,398.1,OK
560,401.2,OK
560,325.6,OK
560,411.4,OK
560,411.5,OK
560,314.90000000000003,OK
560,316.8,OK
560,317.59999999999997,OK
560,401.6,OK
560,397.7,OK
560,409.3,OK
560,398.1,OK
560,400.7,OK
560,390.5,OK
560,303.70000000000005,OK
560,396.7,OK
560,392.0,OK
560,486.0,OK
560,402.8,OK
560,318.90000000000003,OK
560,399.3,OK
560,402.7,OK
560,308.7,OK
560,312.5,OK
560,390.0,OK
560,400.5,OK
560,388.1,OK
560,389.90000000000003,OK
560,400.3,OK
560,394.7,OK
560,394.6,OK
560,307.7,OK
560,401.1,OK
560,399.4,OK
560,480.5,OK
560,390.1,OK
560,400.1,OK
560,409.9,OK
560,407.1,OK
560,304.4,OK
560,398.5,OK
560,389.6,OK
560,399.0,OK
560,485.9,OK
560,314.90000000000003,OK
560,399.8,OK
560,409.6,OK
560,303.4,OK
560,397.8,OK
560,392.90000000000003,OK
560,320.6,OK
560,402.6,OK
560,400.3,OK
560,315.5,OK
560,318.40000000000003,OK
560,395.7,OK
560,481.5,OK
560,388.2,OK
560,400.6,OK
560,321.5,OK
560,413.2,OK
560,407.4,OK
560,319.0,OK
560,413.3,OK
560,316.09999999999997,OK
560,325.90000000000003,OK
560,402.5,OK
560,285.0,OK
560,400.4,OK
560,379.5,OK
560,422.3,OK
560,503.6,OK
560,383.6,OK
560,464.5,OK
560,478.0,OK
560,481.1,OK
560,387.40000000000003,OK
560,399.8,OK
560,309.3,OK
560,584.2,OK
560,376.5,OK
560,410.4,OK
560,306.3,OK
560,395.4,OK
560,412.9,OK
560,306.4,OK
560,393.5,OK
560,413.7,OK
560,395.3,OK
560,399.3,OK
560,489.5,OK
560,418.6,OK
560,480.0,OK
560,394.8,OK
560,402.5,OK
560,413.8,OK
560,479.6,OK
560,409.5,OK
560,396.1,OK
560,395.0,OK
560,405.1,OK
560,303.59999999999997,OK
560,313.3,OK
560,298.4,OK
560,308.90000000000003,OK
560,389.2,OK
560,391.40000000000003,OK
560,405.8,OK
560,309.09999999999997,OK
560,309.09999999999997,OK
560,409.7,OK
560,381.2,OK
560,391.1,OK
560,483.5,OK
560,406.3,OK
560,397.0,OK
560,402.1,OK
560,400.2,OK
560,308.7,OK
560,304.9,OK
560,383.1,OK
560,390.0,OK
560,313.7,OK
560,400.7,OK
560,397.3,OK
560,402.3,OK
560,406.1,OK
560,301.8,OK
560,307.90000000000003,OK
560,378.09999999999997,OK
560,388.2,OK
560,314.90000000000003,OK
560,381.5,OK
560,393.5,OK
560,397.7,OK
560,312.2,OK
560,318.79999999999995,OK
560,386.90000000000003,OK
560,380.5,OK
560,307.09999999999997,OK
560,486.70000000000005,OK
560,407.1,OK
560,402.5,OK
560,411.6,OK
560,392.90000000000003,OK
560,319.6,OK
560,297.59999999999997,OK
560,301.5,OK
560,309.59999999999997,OK
560,319.6,OK
560,310.3,OK
560,309.7,OK
560,406.6,OK
560,298.20000000000005,OK
560,398.4,OK
560,311.59999999999997,OK
560,378.09999999999997,OK
560,380.40000000000003,OK
560,290.2,OK
560,403.5,OK
560,400.4,OK
560,481.59999999999997,OK
560,412.5,OK
560,383.29999999999995,OK
560,394.3,OK
560,398.0,OK
560,318.5,OK
560,403.9,OK
560,328.40000000000003,OK
560,501.49999999999994,OK
560,518.8000000000001,OK
560,403.1,OK
560,395.2,OK
560,419.59999999999997,OK
560,319.90000000000003,OK
560,371.5,OK
560,388.7,OK
560,393.6,OK
560,412.0,OK
560,491.8,OK
560,400.2,OK
560,298.0,OK
560,400.4,OK
560,298.4,OK
560,480.0,OK
560,403.0,OK
560,395.0,OK
560,409.8,OK
560,479.2,OK
560,404.3,OK
560,491.9,OK
560,298.70000000000005,OK
560,382.0,OK
560,392.2,OK
560,398.4,OK
560,314.09999999999997,OK
560,389.29999999999995,OK
560,320.1,OK
560,391.6,OK
560,308.7,OK
560,306.90000000000003,OK
560,383.1,OK
560,386.7,OK
560,312.90000000000003,OK
560,308.3,OK
560,393.0,OK
560,482.8,OK
560,392.2,OK
560,395.5,OK
560,318.6,OK
560,310.0,OK
560,380.7,OK
560,313.90000000000003,OK
560,306.09999999999997,OK
560,319.1,OK
560,400.3,OK
560,392.90000000000003,OK
560,309.5,OK
560,311.7,OK
560,295.8,OK
560,381.29999999999995,OK
560,400.7,OK
560,320.6,OK
560,384.7,OK
560,390.0,OK
560,489.59999999999997,OK
560,396.7,OK
560,308.0,OK
560,303.9,OK
560,315.2,OK
560,405.7,OK
560,414.1,OK
560,392.6,OK
560,399.4,OK
560,403.0,OK
560,417.2,OK
560,311.40000000000003,OK
560,391.5,OK
560,383.0,OK
560,403.1,OK
560,482.3,OK
560,586.0999999999999,OK
560,388.7,OK
560,405.1,OK
560,376.40000000000003,OK
560,304.3,OK
560,403.2,OK
560,491.0,OK
560,391.6,OK
560,403.8,OK
560,480.5,OK
560,381.40000000000003,OK
560,401.7,OK
560,402.2,OK
560,402.5,OK
560,307.59999999999997,OK
560,306.59999999999997,OK
560,394.7,OK
560,403.3,OK
560,396.0,OK
560,490.0,OK
560,400.0,OK
560,304.59999999999997,OK
560,298.8,OK
560,298.8,OK
560,394.6,OK
560,403.8,OK
560,417.0,OK
560,322.6,OK
560,308.5,OK
560,315.2,OK
560,491.5,OK
560,305.9,OK
560,311.5,OK
560,310.0,OK
560,399.7,OK
560,323.2,OK
560,391.2,OK
560,386.6,OK
560,386.5,OK
560,300.8,OK
560,300.8,OK
560,392.5,OK
560,307.3,OK
560,397.0,OK
560,398.5,OK
560,377.59999999999997,OK
560,392.2,OK
560,324.6,OK
560,300.0,OK
560,392.40000000000003,OK
560,392.5,OK
560,377.5,OK
560,408.2,OK
560,401.6,OK
560,309.2,OK
560,408.3,OK
560,400.5,OK
560,318.2,OK
560,390.29999999999995,OK
560,313.7,OK
560,314.7,OK
560,314.7,OK
560,388.29999999999995,OK
560,507.49999999999994,OK
560,403.5,OK
560,309.8,OK
560,381.6,OK
560,384.79999999999995,OK
560,393.6,OK
560,297.20000000000005,OK
560,305.3,OK
560,495.40000000000003,OK
560,496.3,OK
560,310.09999999999997,OK
560,310.7,OK
560,307.8,OK
560,299.09999999999997,OK
560,298.4,OK
560,403.5,OK
560,387.29999999999995,OK
560,486.0,OK
560,295.9,OK
560,486.3,OK
560,299.9,OK
560,385.6,OK
560,336.5,OK
560,336.9,OK
560,416.3,OK
560,418.2,OK
560,298.9,OK
560,477.9,OK
560,300.70000000000005,OK
560,313.3,OK
560,304.8,OK
560,212.2,OK
560,402.3,OK
560,379.90000000000003,OK
560,383.7,OK
560,322.1,OK
560,464.8,OK
560,474.6,OK
560,408.6,OK
560,396.7,OK
560,397.7,OK
560,416.1,OK
560,496.59999999999997,OK
560,401.7,OK
560,396.6,OK
560,315.5,OK
560,406.4,OK
560,488.20000000000005,OK
560,394.7,OK
560,502.09999999999997,OK
560,394.6,OK
560,397.6,OK
560,381.79999999999995,OK
560,387.90000000000003,OK
560,410.0,OK
560,402.5,OK
560,388.79999999999995,OK
560,313.40000000000003,OK
560,397.2,OK
560,311.59999999999997,OK
560,318.0,OK
560,315.7,OK
560,395.7,OK
560,485.9,OK
560,400.1,OK
560,510.1,OK
560,392.90000000000003,OK
560,403.4,OK
560,401.3,OK
560,410.3,OK
560,385.1,OK
560,389.0,OK
560,503.90000000000003,OK
560,419.9,OK
560,409.4,OK
560,409.1,OK
560,394.0,OK
560,388.29999999999995,OK
560,400.5,OK
560,310.8,OK
560,394.8,OK
560,485.3,OK
560,495.90000000000003,OK
560,406.9,OK
560,480.2,OK
560,399.3,OK
560,314.09999999999997,OK
560,395.7,OK
560,470.9,OK
560,392.79999999999995,OK
560,396.9,OK
560,397.3,OK
560,406.5,OK
560,490.4,OK
560,296.4,OK
560,387.79999999999995,OK
560,301.5,OK
560,402.0,OK
560,408.8,OK
560,322.5,OK
560,308.8,OK
560,388.29999999999995,OK
560,298.59999999999997,OK
560,403.7,OK
560,311.09999999999997,OK
560,312.40000000000003,OK
560,311.2,OK
560,299.5,OK
560,398.0,OK
560,393.40000000000003,OK
560,392.1,OK
560,480.7,OK
560,410.1,OK
560,410.5,OK
560,310.7,OK
560,377.3,OK
560,383.90000000000003,OK
560,385.0,OK
560,318.90000000000003,OK
560,405.3,OK
560,391.0,OK
560,392.29999999999995,OK
560,302.5,OK
560,384.40000000000003,OK
560,409.0,OK
560,309.09999999999997,OK
560,393.5,OK
560,390.5,OK
560,408.5,OK
560,417.0,OK
560,309.5,OK
560,309.59999999999997,OK
560,298.70000000000005,OK
560,314.09999999999997,OK
560,317.5,OK
560,397.1,OK
560,402.8,OK
560,407.4,OK
560,386.79999999999995,OK
560,409.3,OK
560,402.3,OK
560,302.70000000000005,OK
560,395.1,OK
560,404.9,OK
560,400.5,OK
560,480.9,OK
560,405.1,OK
560,405.5,OK
560,481.2,OK
560,378.8,OK
560,401.7,OK
560,479.2,OK
560,487.8,OK
560,400.0,OK
560,410.1,OK
560,299.5,OK
560,489.8,OK
560,389.6,OK
560,316.7,OK
560,397.8,OK
560,401.2,OK
560,390.1,OK
560,310.2,OK
560,297.9,OK
560,409.4,OK
560,399.6,OK
560,298.8,OK
560,408.0,OK
560,399.5,OK
560,302.0,OK
560,394.5,OK
560,319.0,OK
560,389.2,OK
560,396.0,OK
560,401.9,OK
560,399.0,OK
560,390.2,OK
560,395.6,OK
560,404.3,OK
560,408.4,OK
560,397.5,OK
560,300.8,OK
560,311.3,OK
560,312.5,OK
560,312.5,OK
560,401.1,OK
560,392.40000000000003,OK
560,392.90000000000003,OK
560,308.5,OK
560,302.4,OK
560,305.09999999999997,OK
560,376.5,OK
560,378.90000000000003,OK
560,404.1,OK
560,399.8,OK
560,399.8,OK
560,308.59999999999997,OK
560,309.0,OK
560,488.59999999999997,OK
560,388.90000000000003,OK
560,408.7,OK
560,410.3,OK
560,398.4,OK
560,415.0,OK
560,503.70000000000005,OK
560,400.6,OK
560,481.70000000000005,OK
560,407.4,OK
560,397.5,OK
560,393.1,OK
560,401.7,OK
560,393.40000000000003,OK
560,303.5,OK
560,402.2,OK
560,389.79999999999995,OK
560,495.09999999999997,OK
560,503.2,OK
560,308.0,OK
560,305.20000000000005,OK
560,415.2,OK
560,300.8,OK
560,401.0,OK
560,395.0,OK
560,406.5,OK
560,302.3,OK
560,411.0,OK
560,393.6,OK
560,392.40000000000003,OK
560,393.6,OK
560,391.2,OK
560,310.90000000000003,OK
560,391.40000000000003,OK
560,403.5,OK
560,490.70000000000005,OK
560,412.6,OK
560,377.40000000000003,OK
560,406.3,OK
560,318.40000000000003,OK
560,303.20000000000005,OK
560,308.59999999999997,OK
560,390.5,OK
560,389.2,OK
560,398.6,OK
560,303.20000000000005,OK
560,315.59999999999997,OK
560,407.0,OK
560,307.09999999999997,OK
560,304.8,OK
560,381.2,OK
560,412.7,OK
560,318.90000000000003,OK
560,318.09999999999997,OK
560,309.40000000000003,OK
560,320.6,OK
560,393.9,OK
560,398.8,OK
560,475.7,OK
560,381.1,OK
560,381.40000000000003,OK
560,306.3,OK
560,400.0,OK
560,395.6,OK
560,380.0,OK
560,471.4,OK
560,396.1,OK
560,299.09999999999997,OK
560,381.40000000000003,OK
560,304.4,OK
560,307.0,OK
560,401.9,OK
560,400.3,OK
560,317.90000000000003,OK
560,296.9,OK
560,318.09999999999997,OK
560,320.7,OK
560,383.79999999999995,OK
560,380.40000000000003,OK
560,302.8,OK
560,312.90000000000003,OK
560,394.8,OK
560,378.59999999999997,OK
560,388.5,OK
560,387.79999999999995,OK
560,399.9,OK
560,222.39999999999998,OK
560,222.6,OK
560,381.7,OK
560,388.90000000000003,OK
560,401.0,OK
560,480.4,OK
560,396.3,OK
560,300.09999999999997,OK
560,310.09999999999997,OK
560,311.90000000000003,OK
560,317.59999999999997,OK
560,380.59999999999997,OK
560,380.5,OK
560,316.2,OK
560,392.40000000000003,OK
560,390.40000000000003,OK
560,310.09999999999997,OK
560,307.0,OK
560,319.7,OK
560,313.2,OK
560,382.40000000000003,OK
560,393.40000000000003,OK
560,400.0,OK
560,399.9,OK
560,491.70000000000005,OK
560,407.3,OK
560,289.9,OK
560,308.7,OK
560,303.8,OK
560,384.2,OK
560,397.1,OK
560,381.1,OK
560,408.0,OK
560,406.5,OK
560,302.20000000000005,OK
560,406.9,OK
560,305.0,OK
560,392.6,OK
560,381.90000000000003,OK
560,415.4,OK
560,380.0,OK
560,399.7,OK
560,400.4,OK
560,395.5,OK
560,297.0,OK
560,292.4,OK
560,308.0,OK
560,310.0,OK
560,402.3,OK
560,417.1,OK
560,399.6,OK
560,324.7,OK
560,405.8,OK
560,304.5,OK
560,313.7,OK
560,322.29999999999995,OK
560,382.5,OK
