timestamp,cpu_percent,memory_usage,memory_limit,memory_percent
1763189881455,203.34,9.227MiB,15.41GiB,0.06
1763189883459,203.34,9.23MiB,15.41GiB,0.06
1763189885462,203.27,9.234MiB,15.41GiB,0.06
1763189887465,203.45,9.152MiB,15.41GiB,0.06
1763189889467,203.59,9.145MiB,15.41GiB,0.06
1763189891472,202.71,9.469MiB,15.41GiB,0.06
1763189893474,202.24,9.383MiB,15.41GiB,0.06
1763189895477,203.13,9.191MiB,15.41GiB,0.06
1763189897480,203.53,9.18MiB,15.41GiB,0.06
1763189899484,204.38,9.219MiB,15.41GiB,0.06
1763189901487,202.67,9.152MiB,15.41GiB,0.06
1763189903490,202.16,9.102MiB,15.41GiB,0.06
1763189905498,202.95,9.098MiB,15.41GiB,0.06
1763189907510,209.46,9.445MiB,15.41GiB,0.06
1763189909517,201.66,9.238MiB,15.41GiB,0.06
1763189911517,202.31,9.176MiB,15.41GiB,0.06
1763189913521,201.47,9.172MiB,15.41GiB,0.06
1763189915524,201.04,9.176MiB,15.41GiB,0.06
1763189917527,200.76,9.418MiB,15.41GiB,0.06
1763189919530,200.35,9.176MiB,15.41GiB,0.06
1763189921534,200.94,9.086MiB,15.41GiB,0.06
1763189923537,200.66,9.391MiB,15.41GiB,0.06
1763189925540,200.61,9.152MiB,15.41GiB,0.06
1763189927545,202.01,9.145MiB,15.41GiB,0.06
1763189929548,203.55,9.148MiB,15.41GiB,0.06
1763189931553,202.65,9.145MiB,15.41GiB,0.06
1763189933555,203.20,9.152MiB,15.41GiB,0.06
1763189935558,200.18,9.027MiB,15.41GiB,0.06
1763189937562,200.46,9.066MiB,15.41GiB,0.06
1763189939565,200.07,9.105MiB,15.41GiB,0.06
1763189941568,202.91,9.109MiB,15.41GiB,0.06
1763189943572,203.34,9.113MiB,15.41GiB,0.06
1763189945575,203.18,9.301MiB,15.41GiB,0.06
1763189947578,204.63,9.051MiB,15.41GiB,0.06
1763189949581,203.13,9.305MiB,15.41GiB,0.06
1763189951586,202.44,9.051MiB,15.41GiB,0.06
1763189953603,203.42,9.055MiB,15.41GiB,0.06
1763189955596,201.80,9.059MiB,15.41GiB,0.06
1763189957599,200.95,9.055MiB,15.41GiB,0.06
1763189959606,204.19,9.055MiB,15.41GiB,0.06
1763189961609,205.42,9.051MiB,15.41GiB,0.06
1763189963611,205.79,9.055MiB,15.41GiB,0.06
1763189965618,204.51,9.148MiB,15.41GiB,0.06
1763189967620,204.31,9.273MiB,15.41GiB,0.06
1763189969622,203.79,9.043MiB,15.41GiB,0.06
1763189971625,205.71,9.047MiB,15.41GiB,0.06
1763189973629,201.21,9.047MiB,15.41GiB,0.06
1763189975631,202.17,9.141MiB,15.41GiB,0.06
1763189977635,203.72,9.172MiB,15.41GiB,0.06
1763189979637,203.35,9.152MiB,15.41GiB,0.06
1763189981640,202.41,9.113MiB,15.41GiB,0.06
1763189983642,204.24,9.168MiB,15.41GiB,0.06
